Year,SERIES,REF_AREA,UNIT_MEASURE,Value
1979,N_KH_180201_01,,NUMBER,4674
1980,N_KH_180201_01,,NUMBER,1343
1981,N_KH_180201_01,,NUMBER,1021
1982,N_KH_180201_01,,NUMBER,1893
1983,N_KH_180201_01,,NUMBER,2761
1984,N_KH_180201_01,,NUMBER,2966
1985,N_KH_180201_01,,NUMBER,3520
1986,N_KH_180201_01,,NUMBER,2902
1987,N_KH_180201_01,,NUMBER,3533
1988,N_KH_180201_01,,NUMBER,2967
1989,N_KH_180201_01,,NUMBER,3333
1990,N_KH_180201_01,,NUMBER,3000
1991,N_KH_180201_01,,NUMBER,2427
1992,N_KH_180201_01,,NUMBER,2189
1993,N_KH_180201_01,,NUMBER,2535
1994,N_KH_180201_01,,NUMBER,2809
1995,N_KH_180201_01,,NUMBER,3333
1996,N_KH_180201_01,,NUMBER,4320
1997,N_KH_180201_01,,NUMBER,2298
1998,N_KH_180201_01,,NUMBER,2150
1999,N_KH_180201_01,,NUMBER,1153
2000,N_KH_180201_01,,NUMBER,858
2001,N_KH_180201_01,,NUMBER,826
2002,N_KH_180201_01,,NUMBER,847
2003,N_KH_180201_01,,NUMBER,772
2004,N_KH_180201_01,,NUMBER,898
2005,N_KH_180201_01,,NUMBER,875
2006,N_KH_180201_01,,NUMBER,450
2007,N_KH_180201_01,,NUMBER,352
2008,N_KH_180201_01,,NUMBER,271
2009,N_KH_180201_01,,NUMBER,244
2010,N_KH_180201_01,,NUMBER,286
2011,N_KH_180201_01,,NUMBER,211
2012,N_KH_180201_01,,NUMBER,186
2013,N_KH_180201_01,,NUMBER,111
2014,N_KH_180201_01,,NUMBER,154
2015,N_KH_180201_01,,NUMBER,111
2016,N_KH_180201_01,,NUMBER,100
2017,N_KH_180201_01,,NUMBER,90
2018,N_KH_180201_01,,NUMBER,81
2019,N_KH_180201_01,,NUMBER,73
2020,N_KH_180201_01,,NUMBER,66
